,Area,count,mean,std,min,25%,50%,75%,max
91,Fiji,708.0,0.4263262711864407,0.6205668937626038,-1.373,-0.0025,0.439,0.82275,2.215
92,Finland,708.0,0.7234505649717514,2.4761772875469132,-8.75,-0.76525,0.6765000000000001,2.2372500000000004,9.73
93,France,708.0,0.6624618644067796,1.4823232109755289,-4.597,-0.28774999999999995,0.6455,1.63775,5.241
94,French Guiana,708.0,0.5317994350282486,0.6217150476321907,-0.648,0.05425,0.465,0.979,2.348
95,French Polynesia,708.0,0.3250875706214689,0.44376506739066307,-1.046,0.0185,0.342,0.62925,1.6
96,French Southern and Antarctic Territories,687.0,0.3292459970887919,0.7389183898909841,-2.53,-0.1435,0.335,0.7945,2.536
97,Gabon,702.0,0.3185868945868946,0.5644898372147462,-0.949,-0.09675,0.249,0.6697500000000001,2.361
98,Gambia,708.0,0.8248799435028248,0.8025952818293333,-1.902,0.26575000000000004,0.839,1.357,3.402
99,Georgia,336.0,0.9392499999999999,1.7375600846477781,-5.62,-0.1605,0.93,2.2175000000000002,5.378
100,Germany,708.0,0.7003728813559322,1.816972609788939,-6.675,-0.45325000000000004,0.6890000000000001,1.859,5.839
101,Ghana,708.0,0.5092655367231639,0.5659103543032521,-1.437,0.066,0.54,0.9225000000000001,2.131
102,Gibraltar,708.0,0.6375564971751412,1.1638333801845706,-2.492,-0.13825,0.627,1.44075,4.415
103,Greece,708.0,0.34214689265536724,1.242168153257153,-3.78,-0.4405,0.3395,1.2195,4.287
104,Greenland,708.0,0.3783629943502824,1.7666221245216238,-6.323,-0.514,0.3285,1.32625,6.845
105,Grenada,708.0,0.35312429378531074,0.5834681961109015,-1.198,-0.07625,0.3265,0.76925,2.342
106,Guadeloupe,708.0,0.2584152542372881,0.4812810902762568,-1.251,-0.0715,0.255,0.5782499999999999,2.213
107,Guatemala,708.0,0.46091242937853116,0.6269290530691719,-1.851,0.017249999999999998,0.4605,0.89025,2.81
108,Guinea,708.0,0.5912528248587571,0.6569827712594557,-1.113,0.11125,0.5834999999999999,1.048,2.408
109,Guinea-Bissau,708.0,0.805045197740113,0.7858117637714348,-1.63,0.255,0.7495,1.374,3.299
110,Guyana,707.0,0.49856152758132954,0.6764150544475009,-2.275,0.0165,0.45,0.9635,2.695
111,Haiti,708.0,0.5715593220338983,0.6432049179616579,-1.607,0.09325,0.59,1.016,2.186
112,Holy See,708.0,0.5075762711864408,1.309927172728312,-3.582,-0.30225,0.5045,1.3832499999999999,4.923
113,Honduras,708.0,0.46634180790960456,0.6143049743662323,-1.391,0.044,0.4745,0.873,2.81
114,Hungary,708.0,0.6143855932203389,1.8725175505163056,-5.489,-0.56875,0.6234999999999999,1.8955,6.474
115,Iceland,708.0,0.2711977401129944,1.3186766470433164,-4.296,-0.5095000000000001,0.2835,1.0665,4.299
116,India,708.0,0.21589971751412435,0.6153716898443347,-1.735,-0.2,0.2075,0.60025,2.533
117,Indonesia,708.0,0.29569632768361587,0.4004972328702249,-0.599,-0.011,0.2445,0.5455000000000001,1.634
118,Iran (Islamic Republic of),708.0,0.6136977401129944,1.2928081467358006,-5.988,-0.09625,0.6335,1.4455,4.648
119,Iraq,708.0,0.5043799435028248,1.4121093257755535,-5.123,-0.3755,0.5485,1.442,5.742
120,Ireland,708.0,0.39028813559322034,1.1410725303005151,-4.423,-0.35924999999999996,0.4225,1.1752500000000001,3.445
121,Isle of Man,708.0,0.3922810734463277,1.2074873973685762,-4.751,-0.39125,0.4305,1.198,3.878
122,Israel,708.0,0.2577005649717514,1.1799145945885314,-3.454,-0.494,0.2815,1.0139999999999998,3.546
123,Italy,708.0,0.5861850282485875,1.2769591480770113,-3.442,-0.25275000000000003,0.5595000000000001,1.4495,4.922
124,Jamaica,675.0,0.6029525925925926,0.6295911660155905,-1.177,0.1365,0.642,1.0819999999999999,2.179
125,Japan,708.0,0.3206059322033899,0.9274624435718836,-2.753,-0.288,0.327,0.984,2.929
126,Jordan,708.0,0.29324858757062156,1.3096571413127545,-3.372,-0.55025,0.337,1.1265,4.308
127,Kazakhstan,336.0,1.2388244047619048,2.2434800343655077,-7.368,0.04175,1.201,2.41725,8.719
128,Kenya,708.0,0.46414265536723154,0.6112067764753156,-1.279,0.024999999999999998,0.4505,0.86325,3.189
129,Kiribati,672.0,0.3568869047619048,0.5756869018389896,-0.865,-0.07775,0.2655,0.72975,2.197
130,Kuwait,708.0,0.720747175141243,1.4445831178449333,-5.11,-0.16375,0.675,1.76775,4.904
131,Kyrgyzstan,336.0,1.0239791666666667,1.5453909101700831,-4.825,-0.028,0.9604999999999999,1.9372500000000001,5.42
132,Land Locked Developing Countries,708.0,0.5589378531073446,0.7119483052462802,-2.254,0.08725,0.497,1.0415,3.303
133,Lao People's Democratic Republic,708.0,0.4311313559322035,0.8696389004829744,-2.633,-0.06225,0.3845,0.95,3.394
134,Latvia,336.0,1.409860119047619,2.2544863308957557,-5.67,0.031,1.465,2.84625,7.216
135,Least Developed Countries,708.0,0.47253248587570623,0.5513987950586348,-1.064,0.05175,0.4715,0.864,2.124
136,Lebanon,708.0,0.3887528248587571,1.2326682353423386,-3.676,-0.405,0.4275,1.2265000000000001,3.765
137,Lesotho,708.0,0.45260028248587575,0.868946040842153,-2.203,-0.13125,0.4975,0.98675,3.513
138,Liberia,700.0,0.5210871428571429,0.5835843290187215,-0.988,0.1,0.4855,0.939,2.307
139,Libya,708.0,0.4288333333333334,1.2323816997735817,-3.126,-0.3955,0.4165,1.2882500000000001,3.878
140,Liechtenstein,708.0,0.7368954802259887,1.7374137994208563,-4.882,-0.426,0.7335,1.91475,5.837
141,Lithuania,336.0,1.3664494047619047,2.266244933568527,-5.816,-0.03925,1.3635000000000002,2.7727500000000003,6.976
142,Low Income Food Deficit Countries,708.0,0.43703389830508477,0.5365752644391822,-1.061,0.034,0.434,0.8165,2.187
143,Luxembourg,240.0,1.4946916666666665,1.7108733085049088,-3.783,0.32775,1.5554999999999999,2.55075,5.97
144,Madagascar,704.0,0.3682130681818181,0.5650106987239334,-1.135,-0.01525,0.31,0.734,2.329
145,Malawi,702.0,0.44429629629629624,0.7353311969069504,-1.45,-0.084,0.3775,0.9117500000000001,3.186
146,Malaysia,708.0,0.4293008474576271,0.49040091689562243,-0.923,0.084,0.3795,0.744,2.156
147,Maldives,633.0,0.4264486571879937,0.4656915855140668,-0.964,0.082,0.439,0.722,1.691
148,Mali,708.0,0.5917824858757061,0.9163538260497515,-2.114,-0.02725,0.626,1.20025,3.9
149,Malta,708.0,0.5805084745762711,1.11639239079506,-2.772,-0.219,0.608,1.38125,3.579
150,Marshall Islands,348.0,0.10073275862068967,0.3363601582261725,-0.676,-0.12475,0.103,0.29725,1.089
151,Martinique,707.0,0.2648345120226308,0.5137160921006406,-1.286,-0.07050000000000001,0.248,0.622,2.221
152,Mauritania,708.0,0.7658262711864405,1.0485126595399297,-2.598,0.0905,0.7695000000000001,1.43575,3.755
153,Mauritius,708.0,0.35450141242937855,0.5549873388193376,-1.267,-0.021500000000000002,0.331,0.683,1.982
154,Mayotte,677.0,0.4481624815361891,0.5862554930629611,-1.288,0.113,0.435,0.798,2.396
155,Melanesia,708.0,0.3333135593220339,0.4698102695529466,-1.203,0.042499999999999996,0.29,0.5914999999999999,1.9
156,Mexico,708.0,0.3706271186440678,0.6821771967800441,-1.575,-0.083,0.3405,0.805,2.718
157,Micronesia,708.0,0.24100847457627117,0.36338685389786546,-0.613,-0.00125,0.191,0.465,1.427
158,Micronesia (Federated States of),348.0,0.22220689655172415,0.33312320462913864,-0.597,-0.007,0.20500000000000002,0.44,1.148
159,Middle Africa,708.0,0.39601553672316386,0.5571588119798119,-1.301,-0.013000000000000001,0.3505,0.763,2.413
160,Midway Island,191.0,0.01087434554973821,0.91823761110273,-2.308,-0.6214999999999999,-0.052,0.5854999999999999,2.731
161,Monaco,708.0,0.6396468926553672,1.3041156371588636,-4.077,-0.19725,0.571,1.5315,5.054
162,Mongolia,708.0,0.8591525423728815,1.8365256038317557,-7.309,-0.258,0.8345,2.044,7.655
163,Montenegro,168.0,1.493041666666667,1.5645661040882473,-4.757,0.5155000000000001,1.4875,2.49475,5.301
164,Montserrat,676.0,0.26229142011834317,0.50244221571608,-1.297,-0.0965,0.2815,0.582,2.315
